!Clamp R On && ! Active eCall On && !RST	!Clamp R включен && ! Active eCall включен && !RST
% Tastverhaeltnis	% Скважность
% Tastverhältnis	% Скважность
0x04 - Schlüssel generiert nich lesbar	0x04 - Ключ сгенерирован, не читается
0x04 - SecLib_decryptData	0x04 - SecLib_decryptData
0x04 - Ungültige Signaturlänge	0x04 - Недопустимая длина подписи
0x04 = AD Karte wird vom Administrator blockiert	0x04 = Карта AD заблокирована администратором
0x04 = AuthIMMOA - KeyID = 0x04 (KEY_1)	0x04 = AuthIMMOA - KeyID = 0x04 (KEY_1)
0x04 = Generierung EncCSMpriv & EncCSMpub	0x04 = Генерация EncCSMpriv & EncCSMpub
0x04 = IDE ist ausgelesen	0x04 = IDE считан
0x04 = Schlüssel generiert aber nicht lesbar	0x04 = Ключ сгенерирован, но не читается
0x04 = SecLib_decryptData	0x04 = SecLib_decryptData
0x04 = Ungültige Signaturlänge	0x04 = Недопустимая длина подписи
0x04 = ZV Frontklappe oeffnen	0x04 = ЦЗ открыть капот
0x05 - Generierung SigCSMpriv & SigCSMpub	0x05 - Генерация SigCSMpriv & SigCSMpub
0x05 - Löschen EEPROM symmetrischen Keys fehlgeschlagen	0x05 - Удаление симметричных ключей EEPROM не удалось
0x05 - RFID TAG ist gültig	0x05 - RFID-метка действительна
0x05 - SecLib_statussessionKey	0x05 - SecLib_statussessionKey
0x05 - Ungültige Datenlänge	0x05 - Недопустимая длина данных
0x05 = EncCSMA_symm - KeyID = 0x05 (KEY_2)	0x05 = EncCSMA_symm - KeyID = 0x05 (KEY_2)
0x05 = Generierung SigCSMpriv & SigCSMpub	0x05 = Генерация SigCSMpriv & SigCSMpub
0x05 = RFID TAG ist authentisiert	0x05 = RFID-метка аутентифицирована
0x05 = SecLib_statussessionKey	0x05 = SecLib_statussessionKey
0x05 = Ungültige Datenlänge	0x05 = Недопустимая длина данных
0x05 = ZV Heckklappe oeffnen	0x05 = ЦЗ открыть багажник
0x06 - Fehlerhafte Parameter oder ungültige Signatur	0x06 - Неверные параметры или недопустимая подпись
0x06 - RFID TAG ist falsch konfiguriert (Plain Modus)	0x06 - RFID-метка неверно сконфигурирована (режим Plain)
0x06 - SecLib_deleteKeys	0x06 - SecLib_deleteKeys
0x06 - Zu kleiner Output Buffer	0x06 - Слишком маленький выходной буфер
0x06 = EncCSMB_symm - KeyID = 0x06 (KEY_3)	0x06 = EncCSMB_symm - KeyID = 0x06 (KEY_3)
0x06 = RFID TAG ist falsch konfiguriert (Plain Modus)	0x06 = RFID-метка неверно сконфигурирована (режим Plain)
0x06 = SecLib_deleteKeys	0x06 = SecLib_deleteKeys
0x06 = ZV Heckscheibe oeffnen	0x06 = ЦЗ открыть заднее стекло
0x06 = Zu kleiner Output Buffer	0x06 = Слишком маленький выходной буфер
0x07 - SecLib_WriteVirtKey	0x07 - SecLib_WriteVirtKey
0x07 - Ungültige cryptoVersion oder ungültige hash-Funktion	0x07 - Недопустимая cryptoVersion или недопустимая хеш-функция
0x07 = Reserviert für CSE KeyID = 0x07 (KEY_4)	0x07 = Зарезервировано для CSE KeyID = 0x07 (KEY_4)
0x07 = SecLib_WriteVirtKey	0x07 = SecLib_WriteVirtKey
0x07 = Ungültige cryptoVersion oder ungültige hash-Funktion	0x07 = Недопустимая cryptoVersion или недопустимая хеш-функция
0x08 - EWS freigeben	0x08 - EWS разблокировать
0x08 - SecLib_hashData	0x08 - SecLib_hashData
0x08 - ungültiger Virtual Key	0x08 - недопустимый виртуальный ключ
0x08 = EWS freigeben	0x08 = EWS разблокировать
0x08 = Reserviert für CSE KeyID = 0x08 (KEY_5)	0x08 = Зарезервировано для CSE KeyID = 0x08 (KEY_5)
0x08 = SecLib_hashData	0x08 = SecLib_hashData
0x08 = ungültiger Virtual Key	0x08 = недопустимый виртуальный ключ
0x09 - ungültiger Session Key	0x09 - недопустимый сессионный ключ
0x09 = Reserviert für CSE KeyID = 0x09 (KEY_6)	0x09 = Зарезервировано для CSE KeyID = 0x09 (KEY_6)
0x09 = ungültiger Session Key	0x09 = недопустимый сессионный ключ
0x0A = Reserviert für CSE KeyID = 0x0A (KEY_7)	0x0A = Зарезервировано для CSE KeyID = 0x0A (KEY_7)
0x0B = Reserviert für CSE KeyID = 0x0B (KEY_8)	0x0B = Зарезервировано для CSE KeyID = 0x0B (KEY_8)
0x0C = Reserviert für CSE KeyID = 0x0C (KEY_9)	0x0C = Зарезервировано для CSE KeyID = 0x0C (KEY_9)
0x0D = Reserviert für CSE KeyID = 0x0D (KEY_10)	0x0D = Зарезервировано для CSE KeyID = 0x0D (KEY_10)
0x0E = Allgemeiner Fehler	0x0E = Общая ошибка
0x0E = Reserviert für EncCSMC_symm	0x0E = Зарезервировано для EncCSMC_symm
0x0F - Keine Anforderung (10sec nach der letzen Aktion)	0x0F - Нет запроса (10 сек после последнего действия)
0x0F = Keine Anforderung (10sec nach der letzen Aktion)	0x0F = Нет запроса (10 сек после последнего действия)
0x0F = Reserviert	0x0F = Зарезервировано
0x0F = Session Key Block für KEY_DELETE	0x0F = Блок сессионного ключа для KEY_DELETE
0x10 = SigCSMpub & SigCSMpriv	0x10 = SigCSMpub & SigCSMpriv
0x11 = EncCSMpub & EncCSMpriv	0x11 = EncCSMpub & EncCSMpriv
0x11: SERVICE NICHT UNTERSTUETZT	0x11: СЕРВИС НЕ ПОДДЕРЖИВАЕТСЯ
0x12 = EncHSMpub	0x12 = EncHSMpub
0x12: TEILFUNKTION NICHT UNTERSTUETZT	0x12: ПОДФУНКЦИЯ НЕ ПОДДЕРЖИВАЕТСЯ
0x22: BEDINGUNGEN NICHT KORREKT	0x22: УСЛОВИЯ НЕ ВЫПОЛНЕНЫ
0x23: ANFORDERUNG NOCH NICHT BEENDET	0x23: ЗАПРОС ЕЩЁ НЕ ЗАВЕРШЁН
0x38301: LED Platine Temperatur Limit überschritten	0x38301: Превышен температурный предел платы LED
0x38302: LED Platine Temperatur Limit unterschritten	0x38302: Занижен температурный предел платы LED
0x38303: Spannungsfehler SoC/ VMIX	0x38303: Ошибка напряжения SoC/ VMIX
0x38306: Kommunikationsfehler zwischen Kamera und FZD	0x38306: Ошибка связи между камерой и FZD
0x38307: FPGA keine Reaktion	0x38307: FPGA не отвечает
0x38308: Sensor Platine Temperatur Limit überschritten	0x38308: Превышен температурный предел платы датчика
0x38309: Sensor Platine Temperatur Limit unterschritten	0x38309: Занижен температурный предел платы датчика
0x3830A: LED ungenügende Leistungsaufnahme	0x3830A: Недостаточное потребление мощности LED
0x3830B: Funktionsstörung Carlib	0x3830B: Неисправность функции Carlib
0x3830C: Rom ECC Fehler	0x3830C: Ошибка ECC ПЗУ
0x3830D: FPGA kann nicht auf RAM zugreifen	0x3830D: FPGA не может обратиться к RAM
0x3830F: SW reset	0x3830F: Программный сброс
0x38310: Modulations-Signal fehlerfaft	0x38310: Сигнал модуляции неисправен
0x38330: Autokalibrierung nicht erfolgreich	0x38330: Автокалибровка не выполнена
0x38331: Fehler während System Startphase	0x38331: Ошибка во время фазы запуска системы
0x38332: CAF Kodierung Fehler	0x38332: Ошибка кодирования CAF
0x38334: NAND Speicher Fehler	0x38334: Ошибка памяти NAND
0x78: ANFORDERUNG NOCH NICHT BEENDET	0x78: ЗАПРОС ЕЩЁ НЕ ЗАВЕРШЁН
0x8001 - StatusCombustionEngine	0x8001 - StatusCombustionEngine
0xE0 - Fehler bei der Generierung	0xE0 - Ошибка при генерации
0xE1 - Fehler bei der Generierung	0xE1 - Ошибка при генерации
0xE2 - Fehler bei der Generierung	0xE2 - Ошибка при генерации
0xE3 - Fehler bei der Generierung	0xE3 - Ошибка при генерации
0xE4 - Fehler bei der Generierung	0xE4 - Ошибка при генерации
0xE5 - Fehler bei der Generierung	0xE5 - Ошибка при генерации
0xF0 - Generierung wurde gestartet - durch STEUERN_KEY_GEN	0xF0 - Генерация запущена - через STEUERN_KEY_GEN
0xF0 = Generierung wurde gestartet - durch STEUERN_KEY_GEN	0xF0 = Генерация запущена - через STEUERN_KEY_GEN
0xFE - Generierung gesperrt ( EELock=1)	0xFE - Генерация заблокирована (EELock=1)
0xFE = Generierung gesperrt ( EELock=1)	0xFE = Генерация заблокирована (EELock=1)
0xFF - Anlieferzustand (Flash gelöscht)	0xFF - Состояние поставки (Flash стёрт)
0xFF - Beschädigte EEPROM Daten oder CSM Schlüssel	0xFF - Повреждённые данные EEPROM или ключ CSM
0xFF - Signal ungültig	0xFF - Сигнал недействителен
0xFF - Ungültig	0xFF - Недействительно
0xFF = Anlieferzustand (Flash gelöscht)	0xFF = Состояние поставки (Flash стёрт)
0xFF = Beschädigte EEPROM Daten oder CSM Schlüssel	0xFF = Повреждённые данные EEPROM или ключ CSM
0xFF = Signal ungültig	0xFF = Сигнал недействителен
0xFF = Ungültig	0xFF = Недействительно
0xb01bbbb: Aus	0xb01bbbb: Выкл
0xbbb0010: Naechsthoehere Stufe waehlen (nur wenn ACC nicht verbaut)	0xbbb0010: Выбрать следующую более высокую ступень (только если ACC не установлен)
0° C	0° C
1 ... EIN	1 ... ВКЛ
1 = Tiefentladung HVS	1 = Глубокий разряд HVS
1 Beschleunigen / Taste+	1 ускорение / кнопка+
1 Diagnose Schritt 1	1 диагностика шаг 1
1 Diagnose Schritt FETT	1 диагностика шаг БОГАТАЯ СМЕСЬ
1 Drosselklappe Notlauf 1	1 дроссельная заслонка аварийный режим 1
1 FGR aktiv	1 FGR активен
1 Falscher Header in der Kommunikation	1 неверный заголовок в связи
1 Fehler Prüfsumme in Kommunikation	1 ошибка контрольной суммы в связи
1 Funktion läuft	1 функция выполняется
1 Mini-HFM IO	1 Mini-HFM IO
1 Motor läuft	1 двигатель работает
1 Position oberer Anschlag	1 положение верхний упор
1 Referenzleck Messung	1 измерение эталонной утечки
1 Regelung AUS, Einschaltbedingung noch nicht erfuellt	1 регулирование ВЫКЛ, условие включения ещё не выполнено
1 Ruhestrom 80 bis 200mA aktiv, keine Standverbraucher aktiv	1 Ток покоя 80-200 мА активен, потребители на стоянке не активны
1 ST - Motor startet	1 ST - двигатель запускается
1 Sporttaster vorhanden	1 спортивная кнопка присутствует
1 Startbedingungen nicht erfüllt	1 условия запуска не выполнены
1 Stern	1 звезда
1 Systemtest SLS Luftmassen Überwachung	1 системный тест SLS контроль массового расхода воздуха
1 Systemtest SLS wartet	1 системный тест SLS ожидает
1 Systemtest Sekundärluft verzögert	1 системный тест вторичного воздуха отложен
