!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
0x07 = SecLib_WriteVirtKey	0x07 = SecLib_WriteVirtKey
0x07 = Ungültige cryptoVersion oder ungültige hash-Funktion	0x07 = Invalid cryptoVersion or invalid hash function
0x08 - EWS freigeben	0x08 - EWS enable
0x08 - SecLib_hashData	0x08 - SecLib_hashData
0x08 - ungültiger Virtual Key	0x08 - Invalid virtual key
0x08 = EWS freigeben	0x08 = EWS enable
0x08 = Reserviert für CSE KeyID = 0x08 (KEY_5)	0x08 = Reserved for CSE KeyID = 0x08 (KEY_5)
0x08 = SecLib_hashData	0x08 = SecLib_hashData
0x08 = ungültiger Virtual Key	0x08 = Invalid virtual key
0x09 - ungültiger Session Key	0x09 - Invalid session key
0x09 = Reserviert für CSE KeyID = 0x09 (KEY_6)	0x09 = Reserved for CSE KeyID = 0x09 (KEY_6)
0x09 = ungültiger Session Key	0x09 = Invalid session key
0x0A = Reserviert für CSE KeyID = 0x0A (KEY_7)	0x0A = Reserved for CSE KeyID = 0x0A (KEY_7)
0x0B = Reserviert für CSE KeyID = 0x0B (KEY_8)	0x0B = Reserved for CSE KeyID = 0x0B (KEY_8)
0x0C = Reserviert für CSE KeyID = 0x0C (KEY_9)	0x0C = Reserved for CSE KeyID = 0x0C (KEY_9)
0x0D = Reserviert für CSE KeyID = 0x0D (KEY_10)	0x0D = Reserved for CSE KeyID = 0x0D (KEY_10)
0x0E = Allgemeiner Fehler	0x0E = General error
0x0E = Reserviert für EncCSMC_symm	0x0E = Reserved for EncCSMC_symm
0x0F - Keine Anforderung (10sec nach der letzen Aktion)	0x0F - No request (10sec after the last action)
0x0F = Keine Anforderung (10sec nach der letzen Aktion)	0x0F = No request (10sec after the last action)
0x0F = Reserviert	0x0F = Reserved
0x0F = Session Key Block für KEY_DELETE	0x0F = Session key block for KEY_DELETE
0x10 = SigCSMpub & SigCSMpriv	0x10 = SigCSMpub & SigCSMpriv
0x11 = EncCSMpub & EncCSMpriv	0x11 = EncCSMpub & EncCSMpriv
0x11: SERVICE NICHT UNTERSTUETZT	0x11: SERVICE NOT SUPPORTED
0x12 = EncHSMpub	0x12 = EncHSMpub
0x12: TEILFUNKTION NICHT UNTERSTUETZT	0x12: SUBFUNCTION NOT SUPPORTED
0x22: BEDINGUNGEN NICHT KORREKT	0x22: CONDITIONS NOT CORRECT
0x23: ANFORDERUNG NOCH NICHT BEENDET	0x23: REQUEST NOT YET COMPLETED
0x38301: LED Platine Temperatur Limit überschritten	0x38301: LED board temperature limit exceeded
0x38302: LED Platine Temperatur Limit unterschritten	0x38302: LED board temperature limit undershot
0x38303: Spannungsfehler SoC/ VMIX	0x38303: Voltage error SoC/ VMIX
0x38306: Kommunikationsfehler zwischen Kamera und FZD	0x38306: Communication error between camera and FZD
0x38307: FPGA keine Reaktion	0x38307: FPGA no response
0x38308: Sensor Platine Temperatur Limit überschritten	0x38308: Sensor board temperature limit exceeded
0x38309: Sensor Platine Temperatur Limit unterschritten	0x38309: Sensor board temperature limit undershot
0x3830A: LED ungenügende Leistungsaufnahme	0x3830A: LED insufficient power consumption
0x3830B: Funktionsstörung Carlib	0x3830B: Carlib malfunction
0x3830C: Rom ECC Fehler	0x3830C: ROM ECC error
0x3830D: FPGA kann nicht auf RAM zugreifen	0x3830D: FPGA cannot access RAM
0x3830F: SW reset	0x3830F: SW reset
0x38310: Modulations-Signal fehlerfaft	0x38310: Modulation signal faulty
0x38330: Autokalibrierung nicht erfolgreich	0x38330: Auto-calibration unsuccessful
0x38331: Fehler während System Startphase	0x38331: Error during system startup phase
0x38332: CAF Kodierung Fehler	0x38332: CAF coding error
0x38334: NAND Speicher Fehler	0x38334: NAND memory error
0x78: ANFORDERUNG NOCH NICHT BEENDET	0x78: REQUEST NOT YET COMPLETED
0x8001 - StatusCombustionEngine	0x8001 - StatusCombustionEngine
0xE0 - Fehler bei der Generierung	0xE0 - Error during generation
0xE1 - Fehler bei der Generierung	0xE1 - Error during generation
0xE2 - Fehler bei der Generierung	0xE2 - Error during generation
0xE3 - Fehler bei der Generierung	0xE3 - Error during generation
0xE4 - Fehler bei der Generierung	0xE4 - Error during generation
0xE5 - Fehler bei der Generierung	0xE5 - Error during generation
0xF0 - Generierung wurde gestartet - durch STEUERN_KEY_GEN	0xF0 - Generation was started - by STEUERN_KEY_GEN
0xF0 = Generierung wurde gestartet - durch STEUERN_KEY_GEN	0xF0 = Generation was started - by STEUERN_KEY_GEN
0xFE - Generierung gesperrt ( EELock=1)	0xFE - Generation locked ( EELock=1)
0xFE = Generierung gesperrt ( EELock=1)	0xFE = Generation locked ( EELock=1)
0xFF - Anlieferzustand (Flash gelöscht)	0xFF - Delivery state (flash erased)
0xFF - Beschädigte EEPROM Daten oder CSM Schlüssel	0xFF - Corrupted EEPROM data or CSM key
0xFF - Signal ungültig	0xFF - Signal invalid
0xFF - Ungültig	0xFF - Invalid
0xFF = Anlieferzustand (Flash gelöscht)	0xFF = Delivery state (flash erased)
0xFF = Beschädigte EEPROM Daten oder CSM Schlüssel	0xFF = Corrupted EEPROM data or CSM key
0xFF = Signal ungültig	0xFF = Signal invalid
0xFF = Ungültig	0xFF = Invalid
0xb01bbbb: Aus	0xb01bbbb: Off
0xbbb0010: Naechsthoehere Stufe waehlen (nur wenn ACC nicht verbaut)	0xbbb0010: Select next higher level (only if ACC not installed)
0° C	0° C
1 ... EIN	1 ... ON
1 = Tiefentladung HVS	1 = Deep discharge HVS
1 Beschleunigen / Taste+	1 Accelerate / button+
1 Diagnose Schritt 1	1 Diagnosis step 1
1 Diagnose Schritt FETT	1 Diagnosis step RICH
1 Drosselklappe Notlauf 1	1 Throttle limp-home 1
1 FGR aktiv	1 Cruise control active
1 Falscher Header in der Kommunikation	1 Wrong header in communication
1 Fehler Prüfsumme in Kommunikation	1 Checksum error in communication
1 Funktion läuft	1 Function running
1 Mini-HFM IO	1 Mini-HFM IO
1 Motor läuft	1 Engine running
1 Position oberer Anschlag	1 Position upper stop
1 Referenzleck Messung	1 Reference leak measurement
1 Regelung AUS, Einschaltbedingung noch nicht erfuellt	1 Control OFF, enable condition not yet met
1 Ruhestrom 80 bis 200mA aktiv, keine Standverbraucher aktiv	1 Quiescent current 80 to 200mA active, no parasitic loads active
1 ST - Motor startet	1 ST - engine starting
1 Sporttaster vorhanden	1 Sport button present
1 Startbedingungen nicht erfüllt	1 Start conditions not met
1 Stern	1 star
1 Systemtest SLS Luftmassen Überwachung	1 System test EVAP leak detection air mass monitoring
1 Systemtest SLS wartet	1 System test EVAP leak detection waiting
1 Systemtest Sekundärluft verzögert	1 System test secondary air delayed
1 Systemtest kann nicht gestartet werden	1 System test cannot be started
1 Tankentlüftung keine	1 Tank venting none
1 Volt	1 volt
1 Volt + AL_L + AL_R + BLK_L ein	1 volt + AL_L + AL_R + BLK_L on
1 Volt + AL_L + AL_R + BLK_R ein	1 volt + AL_L + AL_R + BLK_R on
1 Volt + AL_L + AL_R ein	1 volt + AL_L + AL_R on
1 Volt + AL_L + BLK_L ein	1 volt + AL_L + BLK_L on
1 Volt + AL_L + BLK_R ein	1 volt + AL_L + BLK_R on
1 Volt + AL_L ein	1 volt + AL_L on
1 Volt + AL_R + BLK_L ein	1 volt + AL_R + BLK_L on
1 Volt + AL_R + BLK_R ein	1 volt + AL_R + BLK_R on
1 Volt + AL_R ein	1 volt + AL_R on
1 Volt + BLK_L + BLK_R + AL_L + AL_R ein	1 volt + BLK_L + BLK_R + AL_L + AL_R on
1 Volt + BLK_L + BLK_R + AL_L ein	1 volt + BLK_L + BLK_R + AL_L on
1 Volt + BLK_L + BLK_R + AL_R ein	1 volt + BLK_L + BLK_R + AL_R on
1 Volt + BLK_L + BLK_R ein	1 volt + BLK_L + BLK_R on
1 Volt + BLK_L ein	1 volt + BLK_L on
1 Volt + BLK_R ein	1 volt + BLK_R on
1 hall sensor failure	1 hall sensor failure
1 kleiner n kleiner gleich NrCellsProModul	1 less than n less than or equal to NrCellsProModul
1 true	1 true
1-9 Frames verloren	1-9 frames lost
1-Achsrolle Hinterachse	1-axle roller rear axle
1-Achsrolle Vorderachse (Fzg mit Kombi-Menue) oder Bandenderolle	1-axle roller front axle (vehicle with combi menu) or tire test roller
1-zonig IHKA	1-zone IHKA
1-zonig IHKR	1-zone IHKR
1-zonige IHKS	1-zone IHKS
1-zonige IHS ohne Kompressor	1-zone IHS without compressor
1. Gang	1st gear
1. LED	1st LED
1. Programm	1st program
1. Reads the number of FEE-Block-Erases 2. Count operation minutes 3. Count startup cycles	1. Reads the number of FEE block erases 2. Count operation minutes 3. Count startup cycles
1. Schlusslicht rechts (innen)	1st tail light right (inner)
1. Startwert im Flash zerstört. 2-aus-3-Auswahl fehlgeschlagen oder 2. Fehlerrückmeldung: Startwertprogrammierroutine	1st start value in flash destroyed. 2-out-of-3 selection failed or 2nd fault feedback: start value programming routine
1. Stufe erreicht	1st stage reached
1. und 2. LED	1st and 2nd LED
1.ter Gang	1st gear
1.ter Gang: Position nicht plausibel	1st gear: position not plausible
1/2 Gassenposition nicht plausibel	1/2 gate position not plausible
1/5 plausible Messungen	1/5 plausible measurements
10 Adaption Ende	10 Adaptation end
10 Anti Roll Stabilisierung	10 Anti-roll stabilization
10 Bandendetest Sekundärluft Pumpe	10 End-of-line test secondary air pump
10 Diagnose beendet, Sonden OK	10 Diagnosis finished, sensors OK
10 RAM Test Level 2	10 RAM test level 2
10 Redundant switch off path was triggerd by MC	10 Redundant switch off path was triggerd by MC
10 Ruhestrom 200 bis 1000mA aktiv, Standverbraucher Standheizung aktiv	10 Quiescent current 200 to 1000mA active, parasitic load auxiliary heater active
10 Volt	10 volt
10 Volt + AL_L + AL_R + BLK_L ein	10 volt + AL_L + AL_R + BLK_L on
10 Volt + AL_L + AL_R + BLK_R ein	10 volt + AL_L + AL_R + BLK_R on
10 Volt + AL_L + AL_R ein	10 volt + AL_L + AL_R on
10 Volt + AL_L + BLK_L ein	10 volt + AL_L + BLK_L on
10 Volt + AL_L + BLK_R ein	10 volt + AL_L + BLK_R on
10 Volt + AL_L ein	10 Volt + AL_L on
10 Volt + AL_R + BLK_L ein	10 Volt + AL_R + BLK_L on
10 Volt + AL_R + BLK_R ein	10 Volt + AL_R + BLK_R on
10 Volt + AL_R ein	10 Volt + AL_R on
10 Volt + BLK_L + BLK_R + AL_L + AL_R ein	10 Volt + BLK_L + BLK_R + AL_L + AL_R on
10 Volt + BLK_L + BLK_R + AL_L ein	10 Volt + BLK_L + BLK_R + AL_L on
10 Volt + BLK_L + BLK_R + AL_R ein	10 Volt + BLK_L + BLK_R + AL_R on
10 Volt + BLK_L + BLK_R ein	10 Volt + BLK_L + BLK_R on
10 Volt + BLK_L ein	10 Volt + BLK_L on
10 Volt + BLK_R ein	10 Volt + BLK_R on
10% Taktung	10% duty cycle
10-99 Frames verloren	10-99 frames lost
100 - Defaultwert	100 - default value
100-999 Frames verloren	100-999 frames lost
1000 - Zustand/Wert unplausibel o. Uebertemperatur	1000 - State/value implausible or over-temperature
1000 W	1000 W
1000-9999 Frames verloren	1000-9999 frames lost
10000-12000 U/min	10000-12000 rpm
10000-99999 Frames verloren	10000-99999 frames lost
10077 U/min bis 13436 U/min	10077 rpm to 13436 rpm
100ms   Zykluszeit	100ms   cycle time
101 - Klemmenwechsel erforderlich	101 - terminal change required
101 km/h	101 km/h
104 km/h	104 km/h
107 km/h	107 km/h
10: ComError_ClockInput	10: ComError_ClockInput
10: EmObjDesc_EM_Reduced_OdometryInput	10: EmObjDesc_EM_Reduced_OdometryInput
10: Offset unplausibel (270° -> 0°)	10: Offset implausible (270° -> 0°)
10: OutOfRange_ObjectsRadarFrontObjectData_PositionX	10: OutOfRange_ObjectsRadarFrontObjectData_PositionX
10ms   Zykluszeit	10ms   cycle time
11 Bandendetest Sekundärluft  Ende	11 End-of-line test secondary air end
11 Batteriespannung aus gültigem Bereich	11 Battery voltage out of valid range
11 Bytes SW-Identifikation	11 bytes SW identification
11 Diagnose beendet, Sonden vor Kat vertauscht	11 Diagnosis finished, sensors before catalyst swapped
11 Programmablauf Überwachung 1	11 Program flow monitoring 1
11 ROM Test Level 1	11 ROM test level 1
11 Ruhestrom über 1000mA aktiv, Standverbraucher Standheizung aktiv	11 quiescent current over 1000mA active, parked load auxiliary heater active
11 Volt	11 Volt
11 Volt + AL_L + AL_R + BLK_L ein	11 Volt + AL_L + AL_R + BLK_L on
11 Volt + AL_L + AL_R + BLK_R ein	11 Volt + AL_L + AL_R + BLK_R on
11 Volt + AL_L + AL_R ein	11 Volt + AL_L + AL_R on
11 Volt + AL_L + BLK_L ein	11 Volt + AL_L + BLK_L on
11 Volt + AL_L + BLK_R ein	11 Volt + AL_L + BLK_R on
11 Volt + AL_L ein	11 Volt + AL_L on
11 Volt + AL_R + BLK_L ein	11 Volt + AL_R + BLK_L on
11 Volt + AL_R + BLK_R ein	11 Volt + AL_R + BLK_R on
11 Volt + AL_R ein	11 Volt + AL_R on
11 Volt + BLK_L + BLK_R + AL_L + AL_R ein	11 Volt + BLK_L + BLK_R + AL_L + AL_R on
11 Volt + BLK_L + BLK_R + AL_L ein	11 Volt + BLK_L + BLK_R + AL_L on
11 Volt + BLK_L + BLK_R + AL_R ein	11 Volt + BLK_L + BLK_R + AL_R on
11 Volt + BLK_L + BLK_R ein	11 Volt + BLK_L + BLK_R on
11 Volt + BLK_L ein	11 Volt + BLK_L on
11 Volt + BLK_R ein	11 Volt + BLK_R on
11 km/h	11 km/h
110 - EEPROM-Daten corrupt, Klemmenwechsel erforderlich	110 - EEPROM data corrupt, terminal change required
110 km/h	110 km/h
110: statorfeste Sollposition 270°	110: stator-fixed target position 270°
111 - Timeout beim Schreiben bzw. Konsistenz-Check von NVM-Daten	111 - timeout while writing or consistency check of NVM data
112 °C	112 °C
112° C	112° C
113 km/h	113 km/h
116 km/h	116 km/h
119 km/h	119 km/h
11: EmObjDesc_EM_Unavailable_OdometryInput	11: EmObjDesc_EM_Unavailable_OdometryInput
11: OutOfRange_EthSIFreeSpaceRecogFrntCamFreespaceRecogFrntCam_Timestamp	11: OutOfRange_EthSIFreeSpaceRecogFrntCamFreespaceRecogFrntCam_Timestamp
11: OutOfRange_ObjectsRadarFrontObjectData_PositionY	11: OutOfRange_ObjectsRadarFrontObjectData_PositionY
11: Reduced_ClockInput	11: Reduced_ClockInput
11bit extended addressing	11bit extended addressing
11bit mixed addressing	11bit mixed addressing
11bit normal addressing	11bit normal addressing
12 Diagnose beendet, Sonden nach Kat vertauscht	12 Diagnosis finished, sensors after catalyst swapped
12 Programmablauf Überwachung 2	12 Program flow monitoring 2
12 ROM Test Level 2	12 ROM test level 2
12 V Batterie unterhalb der Schwelle	12 V battery below threshold
12 Volt	12 Volt
12 Volt + AL_L + AL_R + BLK_L ein	12 Volt + AL_L + AL_R + BLK_L on
12 Volt + AL_L + AL_R + BLK_R ein	12 Volt + AL_L + AL_R + BLK_R on
12 Volt + AL_L + AL_R ein	12 Volt + AL_L + AL_R on
12 Volt + AL_L + BLK_L ein	12 Volt + AL_L + BLK_L on
12 Volt + AL_L + BLK_R ein	12 Volt + AL_L + BLK_R on
12 Volt + AL_L ein	12 Volt + AL_L on
12 Volt + AL_R + BLK_L ein	12 Volt + AL_R + BLK_L on
12 Volt + AL_R + BLK_R ein	12 Volt + AL_R + BLK_R on
12 Volt + AL_R ein	12 Volt + AL_R on
12 Volt + BLK_L + BLK_R + AL_L + AL_R ein	12 Volt + BLK_L + BLK_R + AL_L + AL_R on
12 Volt + BLK_L + BLK_R + AL_L ein	12 Volt + BLK_L + BLK_R + AL_L on
12 Volt + BLK_L + BLK_R + AL_R ein	12 Volt + BLK_L + BLK_R + AL_R on
12 Volt + BLK_L + BLK_R ein	12 Volt + BLK_L + BLK_R on
12 Volt + BLK_L ein	12 Volt + BLK_L on
12 Volt + BLK_R ein	12 Volt + BLK_R on
12 elektrischer Fehler	12 Electrical fault
12 keine Ruhestromverletzung, Standverbraucher Sonstige aktiv	12 no quiescent current violation, parked load other active
12-07 C2 HW Alpine	12-07 C2 HW Alpine
12-07 C2 HW Harman	12-07 C2 HW Harman
12-07 D1 HW Alpine	12-07 D1 HW Alpine
12-07 D1 HW Harman	12-07 D1 HW Harman
12-07 D2 HW Alpine	12-07 D2 HW Alpine
12-07 D2 HW Harman	12-07 D2 HW Harman
12-07 D3 HW Alpine	12-07 D3 HW Alpine
12-07 D3 HW Harman	12-07 D3 HW Harman
12-07 NBT C2 HW Alpine HW4	12-07 NBT C2 HW Alpine HW4
12-07 NBT C2 HW Harman HW4	12-07 NBT C2 HW Harman HW4
12-07 NBT D1 HW Alpine HW5	12-07 NBT D1 HW Alpine HW5
12-07 NBT D1 HW Harman HW5	12-07 NBT D1 HW Harman HW5
12-07 NBT D2 HW Alpine HW6	12-07 NBT D2 HW Alpine HW6
12-07 NBT D2 HW Harman HW6	12-07 NBT D2 HW Harman HW6
12-07 NBT D3 HW Alpine HW7	12-07 NBT D3 HW Alpine HW7
12-07 NBT D3 HW Harman HW7	12-07 NBT D3 HW Harman HW7
1200 Hz	1200 Hz
12000-14000 U/min	12000-14000 rpm
125 Hz	125 Hz
128 °C	128 °C
128° C	128° C
12: EmObjDesc_EM_Missed_ObjectKaFASInput	12: EmObjDesc_EM_Missed_ObjectKaFASInput
12: Missed_ClockInput	12: Missed_ClockInput
12: OutOfRange_FrSpRcgLcaFreespaceLeft_Timestamp	12: OutOfRange_FrSpRcgLcaFreespaceLeft_Timestamp
12: OutOfRange_ObjectsRadarFrontObjectData_Length	12: OutOfRange_ObjectsRadarFrontObjectData_Length
12V Ausgang	12V output
12V Batterie - Stromakzeptanz zu gering	12V battery - current acceptance too low
12V Batterie - Stromakzeptanz zu gering - Forecast nächstes Zyklisches Nachladen möglich	12V battery - current acceptance too low - forecast next cyclic recharge possible
12V Batterie - Stromakzeptanz zu gering - Forecast nächstes Zyklisches Nachladen nicht möglich	12V battery - current acceptance too low - forecast next cyclic recharge not possible
12V Batterie Soll SOC erreicht / Laden erfolgreich	12V battery target SOC reached / charging successful
12V Reset Ucel_Qal i.O.	12V reset Ucel_Qal OK
12V Reset Ucel_Qal n.i.O.	12V reset Ucel_Qal NOT OK
12V Reset Ucell_Qlf NICHT OK	12V reset Ucell_Qlf NOT OK
12V Reset Ucell_Qlf OK	12V reset Ucell_Qlf OK
12V Soll-SOC erreicht / Laden erfolgreich - Forecast nächstes Zyklisches Nachladen möglich	12V target SOC reached / charging successful - forecast next cyclic recharge possible
12V Soll-SOC erreicht / Laden erfolgreich - Forecast nächstes Zyklisches Nachladen nicht möglich	12V target SOC reached / charging successful - forecast next cyclic recharge not possible
12V Spannungsversorgung CD-Player	12V power supply CD player
12V Versorgung fuer CD-player defekt	12V supply for CD player faulty
12V getaktet intern	12V internally clocked
12h, dd.mm.yyyy	12h, dd.mm.yyyy
12h, mm/dd/yyyy	12h, mm/dd/yyyy
13 = Funktionsschnittstelle nicht verfügbar	13 = function interface not available
13 Diagnose beendet, Sonden vor und nach Kat vertauscht	13 Diagnosis finished, sensors before and after catalyst swapped
13 Programmablauf Überwachung 3	13 Program flow monitoring 3
13 Ruhestrom 80 bis 200mA aktiv, Standverbraucher Sonstige aktiv	13 quiescent current 80 to 200mA active, parked load other active
13 Volt	13 Volt
13 Volt + AL_L + AL_R + BLK_L ein	13 Volt + AL_L + AL_R + BLK_L on
13 Volt + AL_L + AL_R + BLK_R ein	13 Volt + AL_L + AL_R + BLK_R on
13 Volt + AL_L + AL_R ein	13 Volt + AL_L + AL_R on
13 Volt + AL_L + BLK_L ein	13 Volt + AL_L + BLK_L on
13 Volt + AL_L + BLK_R ein	13 Volt + AL_L + BLK_R on
13 Volt + AL_L ein	13 Volt + AL_L on
13 Volt + AL_R + BLK_L ein	13 Volt + AL_R + BLK_L on
13 Volt + AL_R + BLK_R ein	13 Volt + AL_R + BLK_R on
13 Volt + AL_R ein	13 Volt + AL_R on
13 Volt + BLK_L + BLK_R + AL_L + AL_R ein	13 Volt + BLK_L + BLK_R + AL_L + AL_R on
13 Volt + BLK_L + BLK_R + AL_L ein	13 Volt + BLK_L + BLK_R + AL_L on
13 Volt + BLK_L + BLK_R + AL_R ein	13 Volt + BLK_L + BLK_R + AL_R on
13 Volt + BLK_L + BLK_R ein	13 Volt + BLK_L + BLK_R on
13 Volt + BLK_L ein	13 Volt + BLK_L on
13 Volt + BLK_R ein	13 Volt + BLK_R on
13-03 NBT D3 HW Alpine HW8	13-03 NBT D3 HW Alpine HW8
